feature,mean_abs_shap,std
tree_canopy_coverage_pct,0.029866666666666694,0.011534682002070501
avg_summer_temp_f,0.02933333333333336,0.013279892904521327
poverty_rate_pct,0.01666666666666668,0.0104732463395496
median_household_income_k,0.016133333333333347,0.010941460394095286
heat_hazard_index,0.013066666666666678,0.0063189309925721585
infrastructure_gap,0.008133333333333341,0.007464285334548489
heat_x_vulnerability,0.007066666666666673,0.011404482549516329
extreme_heat_days_annual,0.006533333333333339,0.007535397947170563
ac_access_pct,0.006266666666666672,0.00733454535438671
cooling_centers_per_10k,0.006133333333333339,0.005339995838533548
prev_heart_disease_pct,0.0057333333333333385,0.005650565360111229
pct_65_plus,0.005466666666666672,0.006130434097372085
urban_heat_island_intensity,0.005200000000000005,0.011238030669709598
social_vulnerability_index,0.004800000000000004,0.004607240678178935
region_encoded,0.0046666666666666705,0.004657133119086132
avg_humidity_pct,0.00426666666666667,0.005052612085732382
urban_type_encoded,0.0034666666666666695,0.007135513685471821
prev_obesity_pct,0.0034666666666666695,0.005817979794472386
prev_copd_pct,0.0002666666666666669,0.006402777175222923
impervious_surface_pct,0.0,0.004131182235954581
canopy_deficit,0.0,0.0038643671323171872
prev_diabetes_pct,-0.00013333333333333345,0.003303869784897034
uninsured_rate_pct,-0.0006666666666666673,0.0031552425509864647
pct_outdoor_workers,-0.002133333333333335,0.005031456603763527
