threshold,precision,recall,f2_score,true_positive,false_positive,false_negative,true_negative,zip_codes_flagged,estimated_cost_usd
0.1,0.744,0.9973,0.9337,369,127,1,3,496,1166000
0.11,0.7465,0.9946,0.9326,368,125,2,5,493,1300000
0.12,0.7495,0.9946,0.9335,368,123,2,7,491,1284000
0.13,0.749,0.9919,0.9315,367,123,3,7,490,1434000
0.14,0.752,0.9919,0.9324,367,121,3,9,488,1418000
0.15,0.7546,0.9892,0.9313,366,119,4,11,485,1552000
0.16,0.7536,0.9838,0.9272,364,119,6,11,483,1852000
0.17,0.7552,0.9838,0.9276,364,118,6,12,482,1844000
0.18,0.7552,0.9838,0.9276,364,118,6,12,482,1844000
0.19,0.7568,0.9838,0.9281,364,117,6,13,481,1836000
0.2,0.7631,0.9838,0.93,364,113,6,17,477,1804000
0.21,0.7712,0.9838,0.9324,364,108,6,22,472,1764000
0.22,0.7723,0.9811,0.9308,363,107,7,23,470,1906000
0.23,0.7756,0.9811,0.9317,363,105,7,25,468,1890000
0.24,0.7806,0.9811,0.9332,363,102,7,28,465,1866000
0.25,0.7857,0.9811,0.9346,363,99,7,31,462,1842000
0.26,0.787,0.9784,0.933,362,98,8,32,460,1984000
0.27,0.7895,0.973,0.9298,360,96,10,34,456,2268000
0.28,0.7965,0.973,0.9317,360,92,10,38,452,2236000
0.29,0.7969,0.9649,0.9258,357,91,13,39,448,2678000
0.3,0.7991,0.9568,0.9204,354,89,16,41,443,3112000
0.31,0.8,0.9514,0.9167,352,88,18,42,440,3404000
0.32,0.8018,0.9514,0.9171,352,87,18,43,439,3396000
0.33,0.8083,0.9459,0.9148,350,83,20,47,433,3664000
0.34,0.8121,0.9459,0.9158,350,81,20,49,431,3648000
0.35,0.8112,0.9405,0.9115,348,81,22,49,429,3948000
0.36,0.8147,0.927,0.9022,343,78,27,52,421,4674000
0.37,0.8158,0.9216,0.8983,341,77,29,53,418,4966000
0.38,0.8169,0.9162,0.8945,339,76,31,54,415,5258000
0.39,0.8186,0.9027,0.8845,334,74,36,56,408,5992000
0.4,0.8202,0.9,0.8828,333,73,37,57,406,6134000
0.41,0.8213,0.8946,0.8789,331,72,39,58,403,6426000
0.42,0.8271,0.8919,0.8781,330,69,40,61,399,6552000
0.43,0.8299,0.8838,0.8725,327,67,43,63,394,6986000
0.44,0.832,0.8703,0.8623,322,65,48,65,387,7720000
0.45,0.8346,0.8595,0.8544,318,63,52,67,381,8304000
0.46,0.8382,0.8541,0.8508,316,61,54,69,377,8588000
0.47,0.8418,0.8486,0.8473,314,59,56,71,373,8872000
0.48,0.8447,0.8378,0.8392,310,57,60,73,367,9456000
0.49,0.8447,0.8378,0.8392,310,57,60,73,367,9456000
0.5,0.8485,0.8324,0.8356,308,55,62,75,363,9740000
0.51,0.8496,0.8243,0.8293,305,54,65,76,359,10182000
0.52,0.8523,0.8108,0.8188,300,52,70,78,352,10916000
0.53,0.8567,0.8081,0.8174,299,50,71,80,349,11050000
0.54,0.8588,0.8054,0.8155,298,49,72,81,347,11192000
0.55,0.8651,0.7973,0.81,295,46,75,84,341,11618000
0.56,0.8645,0.7757,0.7919,287,45,83,85,332,12810000
0.57,0.8636,0.7703,0.7873,285,45,85,85,330,13110000
0.58,0.8615,0.7568,0.7756,280,45,90,85,325,13860000
0.59,0.8621,0.7432,0.7643,275,44,95,86,319,14602000
0.6,0.8682,0.7297,0.7538,270,41,100,89,311,15328000
0.61,0.8684,0.7135,0.7399,264,40,106,90,304,16220000
0.62,0.8725,0.7027,0.7312,260,38,110,92,298,16804000
0.63,0.8767,0.6919,0.7223,256,36,114,94,292,17388000
0.64,0.8838,0.6784,0.7115,251,33,119,97,284,18114000
0.65,0.8865,0.6757,0.7094,250,32,120,98,282,18256000
0.66,0.8881,0.6649,0.7001,246,31,124,99,277,18848000
0.67,0.886,0.6514,0.6878,241,31,129,99,272,19598000
0.68,0.8839,0.6378,0.6754,236,31,134,99,267,20348000
0.69,0.8902,0.6351,0.6737,235,29,135,101,264,20482000
0.7,0.8911,0.6189,0.6592,229,28,141,102,257,21374000
0.71,0.892,0.6027,0.6445,223,27,147,103,250,22266000
0.72,0.8934,0.5892,0.6323,218,26,152,104,244,23008000
0.73,0.9034,0.5811,0.6257,215,23,155,107,238,23434000
0.74,0.9017,0.5703,0.6155,211,23,159,107,234,24034000
0.75,0.9035,0.5568,0.603,206,22,164,108,228,24776000
0.76,0.9095,0.5432,0.5908,201,20,169,110,221,25510000
0.77,0.9206,0.5324,0.5815,197,17,173,113,214,26086000
0.78,0.9268,0.5135,0.5638,190,15,180,115,205,27120000
0.79,0.9275,0.4838,0.535,179,14,191,116,193,28762000
0.8,0.9259,0.473,0.5243,175,14,195,116,189,29362000
0.81,0.9282,0.4541,0.5057,168,13,202,117,181,30404000
0.82,0.9298,0.4297,0.4815,159,12,211,118,171,31746000
0.83,0.9268,0.4108,0.4623,152,12,218,118,164,32796000
0.84,0.9226,0.3865,0.4373,143,12,227,118,155,34146000
0.85,0.9275,0.3459,0.3956,128,10,242,120,138,36380000
0.86,0.952,0.3216,0.3707,119,6,251,124,125,37698000
0.87,0.9483,0.2973,0.3446,110,6,260,124,116,39048000
0.88,0.945,0.2784,0.3241,103,6,267,124,109,40098000
0.89,0.95,0.2568,0.3006,95,5,275,125,100,41290000
0.9,0.9663,0.2324,0.2741,86,3,284,127,89,42624000
